Lecture;Ecouter musique;Cinema;Spectacle;Exposition;Ordinateur;Sport;Marche;Voyage;Jouer musique;Collection;Activite benevole;Bricolage;Jardinage;Tricot;Cuisine;Peche;TV;Sexe;Age;Situation matrimoniale;Profession;Nb activites
O;O;N;O;O;N;N;O;N;N;N;O;O;O;N;N;N;0;F;(45,55];Divorce;employe;8
O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;1;M;(75,85];Veuf;cadre;2
O;N;O;O;O;O;O;N;O;N;N;N;N;N;N;N;N;1;M;(55,65];reMarie;cadre;8
N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;2;M;(45,55];Marie;manoeuvre;1
O;N;O;O;N;N;O;N;O;O;N;N;N;N;N;N;O;4;F;(35,45];Seul;cadre;8
O;O;O;O;O;O;O;O;O;N;N;N;O;N;N;O;N;2;F;(35,45];Marie;cadre;12
O;O;O;O;N;N;N;O;N;N;N;N;O;N;N;N;N;2;M;(25,35];Marie;autre;7
O;O;O;O;O;N;O;N;N;N;N;N;N;O;N;N;N;3;M;(65,75];Marie;cadre;8
O;N;N;O;N;N;N;N;O;N;N;N;O;N;N;N;N;4;M;(45,55];Marie;manoeuvre;5
O;O;O;O;O;N;N;O;N;N;N;N;O;N;N;N;N;2;F;(45,55];Seul;NA;8
O;O;O;O;O;O;O;O;O;O;N;N;N;N;N;N;N;4;F;(45,55];Seul;employe;11
N;O;N;N;N;N;O;N;O;N;N;N;N;N;N;O;N;1;M;(45,55];Divorce;manoeuvre;5
N;O;O;O;O;N;N;O;N;O;O;N;O;N;N;N;N;3;F;(45,55];Marie;employe;9
O;O;O;O;O;N;O;N;O;N;N;N;O;N;N;O;N;1;M;(25,35];Seul;cadre;10
N;O;O;O;O;N;N;N;N;N;N;N;N;N;N;N;N;3;F;(25,35];Divorce;manoeuvre;5
O;O;O;O;N;N;O;N;O;O;N;N;N;N;N;O;N;4;F;(35,45];Marie;cadre;9
O;O;O;O;O;O;O;O;O;O;N;N;O;O;N;O;N;4;F;[15,25];Seul;cadre;14
O;N;N;O;N;O;O;O;N;N;N;O;O;N;N;N;N;3;M;(55,65];Divorce;cadre;8
O;O;N;N;N;N;N;N;O;N;O;N;N;O;O;O;N;0;F;(55,65];Divorce;NA;7
O;N;N;O;O;N;N;O;N;N;N;O;N;N;N;N;N;0;F;(35,45];Seul;employe;5
O;N;O;N;N;O;N;N;N;N;N;N;N;N;N;N;N;2;F;(35,45];Divorce;employe;4
N;N;N;N;O;N;N;O;O;N;N;N;N;O;O;O;N;2;F;(55,65];Marie;employe;7
O;O;O;O;O;O;N;O;O;N;N;N;O;O;N;O;N;2;M;(35,45];Seul;cadre;12
N;O;O;O;O;N;N;N;O;O;N;N;O;N;N;O;N;3;M;(35,45];Seul;employe;9
O;O;O;O;O;O;N;O;O;O;N;O;N;N;N;N;N;4;M;(65,75];Veuf;cadre;11
O;O;O;O;O;O;O;O;O;O;N;N;N;N;N;N;N;4;F;(25,35];Seul;cadre;11
N;O;O;N;N;O;O;N;O;N;N;N;N;N;N;N;N;2;M;(25,35];Seul;cadre;6
O;O;O;O;O;O;N;N;O;N;N;N;N;N;N;O;N;0;F;[15,25];Seul;NA;8
O;O;N;N;O;N;O;N;N;N;N;N;N;N;N;N;N;0;M;[15,25];Seul;NA;4
O;O;O;O;N;O;O;O;N;N;N;N;N;N;O;O;N;2;F;(25,35];Seul;technicien;10
O;O;O;O;O;N;O;N;N;N;N;N;O;N;N;N;N;4;M;(35,45];Seul;cadre;8
N;O;O;O;N;N;N;O;N;N;N;N;O;N;N;N;N;4;M;(65,75];Seul;technicien;6
O;O;O;N;N;O;N;O;N;N;N;N;N;N;N;N;N;0;M;(55,65];Seul;technicien;5
O;O;O;N;N;N;O;O;O;O;N;O;O;O;N;O;N;0;F;(35,45];Seul;cadre;11
O;O;O;O;N;N;N;N;N;N;N;N;N;O;O;N;N;3;F;(55,65];Divorce;technicien;7
O;O;O;N;O;N;N;N;N;N;N;N;N;O;N;N;N;0;F;(45,55];Seul;employe;5
N;N;N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;4;F;(65,75];Divorce;employe;2
N;N;N;N;N;O;N;N;N;N;N;N;N;N;N;N;N;4;F;(45,55];Marie;employe;2
O;O;N;N;O;N;N;O;N;O;O;N;N;O;N;N;N;1;M;(65,75];Marie;cadre;8
O;O;O;O;O;O;O;N;O;O;N;N;O;O;N;O;N;1;M;(35,45];Seul;agent de ma?trise;13
O;O;N;N;O;N;N;N;O;N;N;O;N;N;N;N;N;3;M;(55,65];Marie;cadre;6
O;O;O;O;O;N;O;N;O;O;N;N;O;N;N;N;N;3;M;(65,75];Marie;NA;10
O;O;O;N;O;O;O;O;O;O;N;N;O;O;N;O;N;1;M;(25,35];Seul;cadre;13
O;O;O;O;O;N;O;O;O;O;N;O;N;N;N;N;N;0;F;[15,25];Seul;NA;10
O;O;O;O;O;O;N;N;O;O;N;N;O;N;N;O;N;1;F;(65,75];Divorce;employe;11
O;O;O;O;O;O;N;O;N;O;N;N;N;N;N;N;N;2;F;[15,25];Seul;NA;9
O;O;N;O;N;O;O;O;O;O;N;N;O;N;N;O;O;4;M;(25,35];Marie;cadre;12
O;O;O;O;N;O;N;O;O;N;O;N;O;N;N;N;N;1;M;(35,45];Marie;cadre;10
O;O;O;N;O;O;O;N;O;N;N;N;N;N;N;N;N;2;M;[15,25];Seul;NA;8
O;O;O;O;O;O;N;O;N;N;N;O;O;N;N;N;N;4;M;(35,45];Seul;agent de ma?trise;10
O;O;O;N;O;O;N;O;O;N;N;N;O;N;N;O;N;2;F;(25,35];Marie;employe;10
O;O;O;O;O;O;O;O;O;O;N;O;O;N;N;O;N;2;F;[15,25];Seul;employe;14
O;O;N;O;O;O;O;N;O;O;O;N;O;O;O;N;N;2;F;(35,45];Seul;NA;13
O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;2;F;(65,75];Seul;employe;2
O;O;O;O;O;N;N;O;N;O;N;O;N;N;N;N;N;4;F;(75,85];Veuf;cadre;9
N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;3;M;(75,85];reMarie;ouvrier;1
O;O;O;O;N;N;O;N;O;N;N;O;N;N;N;O;N;0;M;(25,35];Seul;cadre;8
O;O;O;N;O;O;O;O;O;N;N;O;O;N;N;N;N;4;M;(45,55];Marie;cadre;11
O;O;O;O;O;O;N;N;O;N;N;N;N;N;O;O;N;2;F;(65,75];Marie;cadre;10
O;O;O;O;O;O;N;O;O;N;N;O;N;N;N;N;N;4;M;(45,55];reMarie;cadre;10
O;O;O;O;O;O;N;N;O;N;N;N;N;N;N;N;N;2;M;(35,45];reMarie;employe;8
O;O;O;N;N;O;O;O;O;N;N;N;N;N;N;N;N;1;M;(25,35];Marie;NA;8
N;O;N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;4;F;(55,65];Seul;NA;3
O;O;O;O;O;O;O;N;O;O;N;N;O;N;N;O;N;2;M;(35,45];Seul;employe;12
O;O;O;O;O;N;O;O;O;N;N;N;N;O;N;O;N;4;F;(55,65];Marie;cadre;11
O;O;O;O;O;O;O;O;O;O;N;N;O;O;N;N;N;2;M;(55,65];Marie;cadre;13
N;O;N;N;N;O;N;N;O;N;N;N;N;N;N;O;N;4;F;(45,55];Marie;agent de ma?trise;5
O;O;O;N;O;O;N;O;O;O;N;N;O;O;N;O;N;4;F;[15,25];Seul;NA;12
O;O;O;O;O;O;O;N;O;N;N;N;N;N;N;N;N;3;M;(45,55];reMarie;cadre;9
O;O;O;O;O;N;O;N;O;N;N;N;O;N;N;O;N;1;F;(25,35];Marie;employe;10
O;O;O;O;O;O;O;N;O;N;N;N;N;N;N;N;N;1;M;(25,35];Seul;employe;9
O;O;O;O;O;N;O;O;O;N;N;N;N;N;N;N;N;2;F;(25,35];Seul;cadre;9
N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;0;F;(75,85];reMarie;cadre;0
O;O;N;N;O;O;N;O;O;N;N;N;N;N;N;N;N;1;M;(35,45];Marie;NA;7
N;N;N;O;N;N;N;N;O;N;N;N;O;O;N;N;N;0;M;(85,100];Marie;NA;4
O;N;N;N;N;N;N;N;N;N;O;N;N;N;N;N;N;4;M;(65,75];Seul;cadre;3
O;O;O;O;O;O;O;O;O;N;N;O;N;N;N;N;N;1;F;(45,55];Marie;cadre;11
N;O;O;O;N;N;N;N;O;N;N;N;N;N;N;O;N;2;F;[15,25];Seul;NA;6
O;O;O;O;N;O;O;O;N;N;N;N;N;N;N;N;N;0;M;(25,35];Seul;cadre;7
O;O;O;O;O;N;N;O;O;N;N;N;O;O;N;O;N;1;F;(45,55];Marie;cadre;11
O;O;O;O;N;N;N;N;O;O;N;N;O;N;N;N;N;1;F;(35,45];Marie;employe;8
O;N;O;N;O;N;O;O;O;N;N;N;N;N;N;N;N;2;F;(65,75];Divorce;NA;7
O;O;O;O;O;O;N;O;O;O;N;N;N;N;N;N;N;0;M;(25,35];Seul;cadre;9
O;O;N;O;N;N;N;N;O;N;N;N;N;O;N;O;N;0;F;(65,75];Marie;NA;6
O;O;O;O;N;O;O;N;N;N;N;N;O;N;N;N;N;3;M;[15,25];Seul;NA;8
O;O;O;O;N;O;N;O;O;O;N;N;N;N;N;N;N;2;M;(25,35];Seul;employe;9
O;O;O;N;O;N;O;O;N;N;N;N;N;N;N;N;N;0;F;[15,25];Seul;NA;6
O;O;O;O;O;N;O;O;O;N;N;O;N;O;N;N;N;0;F;(45,55];Marie;employe;10
O;N;N;N;N;N;N;O;O;N;N;N;O;N;N;N;N;3;M;(55,65];Seul;technicien;5
O;N;N;N;O;N;N;N;N;O;N;N;N;N;N;N;N;0;M;(65,75];Marie;cadre;3
O;O;O;O;O;O;O;O;O;N;O;N;O;N;N;O;N;3;M;[15,25];Seul;employe;13
N;N;O;O;O;N;N;N;N;N;N;N;N;N;N;N;N;4;F;(75,85];Veuf;cadre;4
O;O;N;N;O;O;O;N;O;O;N;N;N;N;N;N;N;1;M;[15,25];Seul;NA;8
O;O;O;O;O;N;O;N;O;N;N;N;N;N;N;O;N;4;F;(55,65];Marie;agent de ma?trise;9
O;O;O;N;N;O;O;O;N;O;N;N;O;N;N;N;N;2;M;[15,25];Seul;ouvrier;9
O;O;O;O;O;O;O;N;O;O;N;N;N;N;N;N;N;3;F;[15,25];Seul;NA;10
O;O;O;O;O;N;O;O;O;N;O;N;O;N;N;N;N;4;F;[15,25];Seul;NA;11
O;N;O;O;O;O;O;N;O;N;N;O;N;N;N;N;N;2;F;(35,45];Marie;cadre;9
O;O;O;O;O;N;N;O;O;N;N;N;N;N;N;N;N;0;M;(65,75];Marie;cadre;7
O;O;O;O;O;O;N;N;O;N;N;N;N;N;N;N;N;2;F;(35,45];Marie;cadre;8
O;O;O;N;O;O;O;N;O;N;N;N;N;N;N;N;N;4;F;(55,65];Marie;cadre;8
O;O;N;O;O;N;N;N;N;O;N;N;O;N;N;N;N;3;F;(65,75];Marie;employe;7
O;O;O;O;O;O;O;N;O;N;N;N;N;N;N;N;N;2;F;(55,65];Seul;NA;9
N;N;N;N;N;N;N;O;N;N;N;N;O;O;O;O;N;2;F;(55,65];Marie;employe;6
O;O;N;O;O;O;N;O;O;O;N;N;N;O;N;N;N;0;M;(45,55];Marie;NA;9
O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;3;M;(35,45];Seul;manoeuvre;2
O;O;O;O;O;O;N;N;O;O;O;N;N;N;N;O;N;4;F;(25,35];Seul;cadre;11
O;O;O;O;O;O;O;O;O;O;N;N;N;N;N;O;N;2;F;(25,35];Seul;autre;12
O;O;N;O;N;O;O;O;O;N;N;N;N;N;N;O;N;0;M;(35,45];reMarie;cadre;8
O;O;O;N;O;N;O;O;O;O;N;N;N;N;N;O;N;2;F;(55,65];Marie;cadre;10
O;O;O;N;N;O;O;N;N;N;N;N;N;N;N;N;N;4;F;(45,55];Veuf;agent de ma?trise;6
O;O;N;N;N;N;N;N;O;N;N;N;N;N;N;N;N;3;F;(45,55];Marie;ouvrier;4
O;O;O;O;O;O;O;O;O;O;N;N;N;N;N;O;N;1;M;[15,25];Seul;cadre;12
O;O;O;O;O;N;N;O;N;N;N;N;O;O;N;N;N;3;F;(35,45];Seul;employe;9
O;O;O;N;O;N;N;O;N;N;N;N;O;N;N;N;N;2;M;(45,55];Seul;cadre;7
O;O;N;N;N;N;O;N;N;N;N;N;N;N;N;N;N;0;M;(55,65];Marie;cadre;3
O;O;O;O;O;O;O;N;O;O;N;N;O;O;O;O;N;2;F;(35,45];Marie;NA;14
N;O;O;O;N;O;O;N;O;N;N;N;N;N;N;O;N;4;F;(35,45];Marie;employe;8
O;N;N;N;N;N;N;O;N;N;N;N;N;N;N;N;N;0;F;(45,55];Divorce;employe;2
O;N;N;O;N;N;O;N;N;N;N;N;O;N;N;N;N;1;F;(25,35];Marie;cadre;5
O;N;O;N;N;N;O;N;N;N;N;N;N;N;N;N;N;1;M;(45,55];Seul;cadre;4
O;O;O;N;N;O;N;N;N;O;N;N;N;N;N;O;N;1;F;(25,35];Seul;NA;7
O;O;O;O;O;O;O;N;O;O;N;O;N;O;O;O;N;0;F;(25,35];Seul;cadre;13
O;O;O;N;O;O;O;N;N;O;O;O;O;O;N;O;N;1;M;[15,25];Marie;employe;13
O;N;N;N;N;N;N;O;N;N;N;N;N;N;N;N;N;1;F;(75,85];Divorce;employe;3
O;O;O;N;O;N;N;O;N;O;N;N;N;N;N;N;N;4;F;(25,35];Seul;agent de ma?trise;7
O;O;O;N;N;N;O;O;O;N;N;N;N;N;N;N;N;1;F;(25,35];Seul;autre;7
O;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;2;F;(35,45];Seul;employe;3
O;O;N;N;O;O;N;N;N;N;N;N;N;N;N;O;N;1;F;(35,45];Marie;cadre;6
O;N;N;N;N;N;O;N;N;N;N;N;N;O;N;N;N;0;F;(45,55];Seul;employe;3
O;O;O;N;N;O;O;N;O;O;N;N;N;N;N;O;N;1;M;[15,25];Seul;NA;9
N;N;N;N;N;N;N;N;O;N;N;N;O;N;N;N;N;4;M;(45,55];Marie;ouvrier;3
O;O;O;O;O;O;N;O;O;O;O;N;N;N;N;N;N;3;M;(45,55];Divorce;cadre;11
O;O;O;O;O;O;O;N;O;N;N;O;O;O;O;O;N;3;F;(45,55];Marie;cadre;14
N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;4;F;(65,75];Marie;cadre;2
O;N;N;N;N;N;N;N;O;N;N;O;N;N;N;O;N;1;M;(55,65];Divorce;employe;5
N;O;N;N;N;O;O;O;O;O;N;N;O;N;N;O;N;0;M;(75,85];reMarie;technicien;8
O;O;O;N;N;O;O;N;N;N;N;N;N;N;N;N;N;4;M;(25,35];Seul;employe;6
O;O;O;O;O;O;N;O;O;O;N;N;O;N;N;N;N;4;M;(25,35];Seul;cadre;11
O;O;N;O;N;O;O;O;O;O;N;N;O;N;N;N;N;1;M;[15,25];Seul;ouvrier;10
O;O;O;N;O;O;O;N;O;N;N;N;N;N;N;O;N;4;F;[15,25];Seul;NA;9
O;O;O;O;O;O;O;O;O;O;N;N;N;N;N;O;N;2;M;(25,35];Seul;employe;12
O;O;N;N;N;N;N;N;N;N;N;N;N;N;N;O;N;1;F;(25,35];Seul;agent de ma?trise;4
O;O;O;N;N;N;O;N;N;N;N;N;N;N;N;O;N;3;F;(25,35];Divorce;employe;6
N;O;N;N;O;N;N;N;N;N;N;N;O;N;N;O;N;4;M;(35,45];Marie;ouvrier;5
O;O;N;N;O;O;N;N;N;N;N;N;N;N;N;O;N;1;F;(45,55];Marie;employe;6
O;O;O;O;N;O;O;N;N;N;N;N;N;N;N;N;O;2;M;(25,35];Seul;cadre;8
O;O;O;O;O;N;N;N;N;N;N;N;N;N;N;N;N;0;M;(35,45];Marie;agent de ma?trise;5
O;O;N;O;N;N;N;O;O;N;N;N;N;N;N;O;N;0;M;(35,45];Seul;cadre;6
O;O;N;N;O;N;N;N;N;O;N;N;N;N;N;N;N;3;F;(35,45];Seul;agent de ma?trise;5
N;O;O;N;N;O;O;N;N;N;N;N;N;N;N;N;N;0;F;[15,25];Seul;agent de ma?trise;4
O;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;4;F;(65,75];Marie;manoeuvre;3
O;O;O;N;N;O;N;N;N;N;N;N;N;N;N;N;N;2;M;(45,55];Marie;employe;5
N;O;O;N;N;N;N;N;O;O;N;N;N;N;N;N;N;0;M;(35,45];Seul;agent de ma?trise;4
O;O;O;O;N;N;N;N;N;N;N;N;N;N;N;N;N;0;F;(25,35];Seul;agent de ma?trise;4
O;O;O;N;N;N;O;N;O;N;N;N;N;N;N;N;N;0;F;(25,35];Marie;technicien;5
O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;4;F;(85,100];Veuf;employe;2
N;O;N;N;N;N;O;N;O;O;N;N;N;N;N;N;N;0;F;(35,45];Seul;employe;4
N;N;N;O;N;O;N;N;O;N;N;N;N;N;N;N;N;0;M;(25,35];Marie;cadre;3
N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;4;F;(55,65];Marie;employe;1
O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;0;F;(65,75];Veuf;employe;1
N;O;N;N;N;N;N;O;N;N;N;N;N;N;N;N;N;3;F;(45,55];Marie;employe;3
N;O;N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;3;F;(25,35];Marie;employe;3
O;O;O;O;N;O;O;O;N;N;N;N;N;N;N;O;N;2;F;(45,55];Divorce;agent de ma?trise;9
O;O;O;N;O;O;O;N;O;O;N;N;N;N;N;O;O;2;M;(35,45];Marie;cadre;11
O;O;N;O;O;O;N;O;O;N;O;N;O;N;N;N;N;1;M;(55,65];Marie;NA;10
O;O;N;N;N;N;N;O;N;N;N;N;N;O;N;N;N;4;M;(55,65];Marie;employe;5
O;O;O;O;O;O;O;O;O;O;N;O;O;N;O;O;O;2;M;[15,25];Seul;NA;16
O;O;O;O;O;N;O;O;O;O;N;O;N;N;N;N;N;1;F;(25,35];Seul;NA;11
N;O;N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;4;F;(85,100];Seul;employe;3
O;N;N;N;N;N;N;N;N;N;N;N;O;O;N;O;N;3;M;(55,65];Marie;cadre;5
N;O;O;O;N;O;O;O;O;O;N;N;N;O;N;N;O;2;M;(55,65];Marie;cadre;11
O;O;O;O;O;O;O;O;O;N;N;N;O;O;N;O;N;3;M;(35,45];Marie;cadre;13
O;N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;N;1;M;(45,55];Marie;NA;3
O;N;N;N;N;O;O;N;O;N;N;N;O;O;N;N;N;3;M;(35,45];Marie;cadre;7
O;O;N;N;N;N;N;N;O;N;N;N;N;O;N;N;N;1;F;(65,75];Marie;NA;5
O;N;N;N;N;O;O;N;O;N;N;N;O;O;N;O;N;1;M;(35,45];Marie;cadre;8
O;O;O;O;O;O;O;O;O;O;N;N;N;N;N;O;N;3;M;(25,35];Marie;manoeuvre;12
O;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;4;F;(25,35];Marie;employe;3
O;O;O;O;O;N;O;N;O;N;N;N;O;N;N;N;O;1;M;(25,35];Marie;cadre;10
O;O;O;O;O;O;O;N;N;N;O;N;N;N;N;O;N;4;M;(25,35];Seul;employe;10
O;O;O;N;O;O;O;O;O;O;N;O;N;O;N;N;N;3;F;(55,65];Marie;employe;12
O;O;O;O;O;O;O;O;N;N;N;N;N;N;N;O;N;4;M;[15,25];Seul;NA;10
O;N;N;O;O;N;N;N;O;N;N;N;N;N;N;O;N;2;F;(45,55];Marie;employe;6
O;O;O;O;O;O;O;O;O;N;N;N;N;N;N;N;N;1;F;(45,55];Marie;agent de ma?trise;10
O;O;O;N;O;O;O;N;O;N;O;O;N;N;N;N;N;2;M;(65,75];Marie;employe;10
O;N;N;N;O;N;N;N;O;N;N;N;O;O;N;N;N;3;M;(45,55];Marie;ouvrier;6
N;N;N;N;N;N;N;N;N;O;N;N;O;O;O;O;N;0;F;(25,35];Seul;ouvrier;5
O;N;O;O;N;O;N;O;O;O;N;N;O;N;N;N;N;3;F;(35,45];Marie;employe;9
O;O;O;O;O;O;O;O;O;O;N;O;N;N;N;N;N;4;M;(55,65];reMarie;cadre;12
O;O;O;O;O;O;O;O;O;N;N;N;O;N;N;O;N;2;M;[15,25];Seul;NA;12
N;O;N;N;N;O;O;N;N;N;N;N;N;N;N;N;N;2;M;[15,25];Seul;employe;4
N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;4;F;[15,25];Seul;employe;2
N;O;N;N;N;N;N;N;O;N;N;N;N;N;N;N;N;0;F;(45,55];Marie;agent de ma?trise;2
O;O;N;N;O;N;N;N;O;N;O;N;N;N;N;O;N;4;M;(35,45];Seul;ouvrier;7
O;O;O;O;O;N;N;N;O;O;O;N;O;O;N;O;N;2;M;(55,65];reMarie;cadre;12
N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;N;N;4;F;(65,75];Marie;employe;2
O;N;O;O;O;O;O;O;O;N;N;N;O;N;O;N;N;4;F;(55,65];Divorce;cadre;11
O;O;O;O;O;O;O;O;O;N;N;N;N;N;N;O;N;2;F;[15,25];Seul;employe;11
N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;3;F;(65,75];Marie;manoeuvre;1
O;O;N;O;N;O;N;O;N;N;N;N;O;O;N;N;N;2;F;(45,55];Marie;employe;8
O;O;O;O;O;O;O;O;O;N;N;N;N;O;N;N;N;1;M;[15,25];Seul;NA;11
O;O;O;O;N;O;O;N;N;O;N;N;N;N;O;N;N;4;F;(35,45];Marie;ouvrier;9
N;O;N;N;N;O;O;O;O;N;N;N;O;N;N;O;N;2;M;(25,35];reMarie;employe;8
O;O;O;N;N;N;N;N;O;N;N;N;N;N;N;O;O;4;F;[15,25];Seul;NA;7
N;N;N;N;N;N;O;O;N;N;N;N;N;N;N;N;N;1;M;(55,65];Marie;ouvrier;3
O;O;O;N;O;N;O;N;N;N;O;N;N;N;N;O;N;3;M;(45,55];Seul;ouvrier;8
O;O;O;O;N;O;O;N;N;O;N;N;O;N;N;O;N;2;M;(25,35];Marie;cadre;10
O;O;O;O;O;O;O;O;O;N;N;O;N;N;O;N;N;2;F;(55,65];Divorce;employe;12
O;O;O;O;O;O;O;O;O;N;N;O;N;N;N;O;N;1;F;(35,45];Divorce;agent de ma?trise;12
O;O;O;O;O;N;O;N;O;O;O;N;N;O;N;O;N;1;F;(45,55];Marie;NA;12
O;O;O;O;O;O;O;O;O;O;N;O;N;N;N;N;N;1;F;(35,45];Marie;agent de ma?trise;12
O;O;O;O;O;O;O;N;O;O;O;N;O;O;O;O;N;1;F;(45,55];Divorce;employe;15
O;O;O;O;O;N;N;N;O;N;N;O;N;N;N;O;N;3;M;(45,55];Marie;manoeuvre;9
O;O;O;N;N;N;O;O;N;N;N;N;N;N;N;O;N;2;F;(25,35];Marie;employe;7
